x,y,z,angle_deg,obj_filename,pred_width,pred_height,fit_dist,pred_levels,cluster_levels
-725279.637323124,3172499.789219221,0,0,geospecific_0.obj,0,0,0,3,3
-725253.7682720727,3172535.89862546,0,0,geospecific_1.obj,0,0,0,9,9
-725179.4184969299,3172531.9535369864,0,0,geospecific_2.obj,0,0,0,6,6
-724917.9060545997,3172651.005777966,0,0,geospecific_3.obj,0,0,0,3,3
-725061.7025739561,3172605.3499232945,0,0,geospecific_4.obj,0,0,0,4,4
-724989.8575661648,3172546.6839584378,0,0,geospecific_5.obj,0,0,0,6,6
-724932.9807486483,3172587.101419494,0,0,geospecific_6.obj,0,0,0,10,10
-725098.7470373474,3172524.878770211,0,0,geospecific_7.obj,0,0,0,5,5
-725117.599044802,3172518.517994631,0,0,geospecific_8.obj,0,0,0,4,4
-725055.7698310396,3172546.3907737853,0,0,geospecific_9.obj,0,0,0,4,4
-725159.8813673178,3172498.846858973,0,0,geospecific_10.obj,0,0,0,6,6
-725117.6666370566,3172420.5311802505,0,0,geospecific_11.obj,0,0,0,5,5
-724959.8218459886,3172738.2398068765,0,0,geospecific_12.obj,0,0,0,7,7
-724990.2483710905,3172574.607136758,0,0,geospecific_13.obj,0,0,0,4,4
-725009.3833001141,3172619.1371056633,0,0,geospecific_14.obj,0,0,0,5,5
-725525.618219944,3172640.862444441,0,0,geospecific_15.obj,0,0,0,5,5
-725579.1951014263,3172721.885275104,0,0,geospecific_16.obj,0,0,0,3,3
-725391.3098228342,3172615.710915804,0,0,geospecific_17.obj,0,0,0,4,4
-725373.234708873,3172555.688100549,0,0,geospecific_18.obj,0,0,0,9,9
-725263.8097361394,3172679.469234497,0,0,geospecific_19.obj,0,0,0,3,3
-725183.0435933361,3172670.0783784464,0,0,geospecific_20.obj,0,0,0,3,3
-725102.4930955017,3172718.7024170845,0,0,geospecific_21.obj,0,0,0,9,9
-725107.1296183501,3172674.361962606,0,0,geospecific_22.obj,0,0,0,4,4
-725122.9186130936,3172719.7835164657,0,0,geospecific_23.obj,0,0,0,8,8
-725037.6351918654,3172658.2668326306,0,0,geospecific_24.obj,0,0,0,4,4
-725111.0232765176,3172688.4444697844,0,0,geospecific_25.obj,0,0,0,4,4
-725175.6973764438,3172732.647481005,0,0,geospecific_26.obj,0,0,0,5,5
-725246.2020807662,3172831.0717706974,0,0,geospecific_27.obj,0,0,0,5,5
-725280.2048284764,3172774.1654223893,0,0,geospecific_28.obj,0,0,0,3,3
-725299.6670737249,3172782.5128990123,0,0,geospecific_29.obj,0,0,0,3,3
-725351.8174195563,3172698.7094838344,0,0,geospecific_30.obj,0,0,0,7,7
-725502.3402159244,3172828.0492828437,0,0,geospecific_31.obj,0,0,0,7,7
-725475.1451043529,3172911.874296423,0,0,geospecific_32.obj,0,0,0,3,3
-725365.6587522518,3172968.1918592514,0,0,geospecific_33.obj,0,0,0,4,4
-725270.4831206683,3172895.751036897,0,0,geospecific_34.obj,0,0,0,4,4
-725298.314163478,3172886.906659819,0,0,geospecific_35.obj,0,0,0,4,4
-725234.2282340376,3172907.642885218,0,0,geospecific_36.obj,0,0,0,5,5
-725296.6761642058,3172915.1539671724,0,0,geospecific_37.obj,0,0,0,5,5
-725248.774565019,3172930.1310812333,0,0,geospecific_38.obj,0,0,0,7,7
-725168.5021866318,3172953.618244696,0,0,geospecific_39.obj,0,0,0,4,4
-725486.833610565,3172956.7555546314,0,0,geospecific_40.obj,0,0,0,3,3
-725448.6936830009,3172979.3278497686,0,0,geospecific_41.obj,0,0,0,5,5
-725666.4106982227,3172974.333073554,0,0,geospecific_42.obj,0,0,0,4,4
-725210.1242633102,3173021.7288050405,0,0,geospecific_43.obj,0,0,0,2,2
-725171.5646216045,3173211.0426384066,0,0,geospecific_44.obj,0,0,0,9,9
-725254.6198129081,3173110.4662822285,0,0,geospecific_45.obj,0,0,0,4,4
-725287.740136085,3173163.9948912156,0,0,geospecific_46.obj,0,0,0,5,5
-725307.4633687687,3173090.2403386505,0,0,geospecific_47.obj,0,0,0,7,7
-725420.2814829157,3173128.5171132,0,0,geospecific_48.obj,0,0,0,8,8
-725378.1096335247,3173076.668084855,0,0,geospecific_49.obj,0,0,0,8,8
-725434.7865456927,3173008.0752011016,0,0,geospecific_50.obj,0,0,0,4,4
-725438.7505702747,3173041.344491336,0,0,geospecific_51.obj,0,0,0,10,10
