x,y,z,angle_deg,obj_filename,pred_width,pred_height,fit_dist,pred_levels,cluster_levels
-728530.7299096696,3172846.630936056,0,0,geospecific_0.obj,0,0,0,1,1
-727933.2850988557,3172858.578730258,0,0,geospecific_1.obj,0,0,0,1,1
-728690.6942819181,3173038.6083581476,0,0,geospecific_2.obj,0,0,0,1,1
-728757.5430156545,3173111.821465095,0,0,geospecific_3.obj,0,0,0,1,1
-728724.4396743949,3173192.1150165144,0,0,geospecific_4.obj,0,0,0,1,1
-728126.880498504,3173277.127552346,0,0,geospecific_5.obj,0,0,0,1,1
-727954.3449489197,3173251.1874122526,0,0,geospecific_6.obj,0,0,0,1,1
-728260.0830289276,3173258.623811172,0,0,geospecific_7.obj,0,0,0,1,1
-728355.6470352049,3173260.6604696577,0,0,geospecific_8.obj,0,0,0,1,1
-728890.6984985315,3173820.2229716126,0,0,geospecific_9.obj,0,0,0,1,1
-728751.9646750604,3173814.2913433923,0,0,geospecific_10.obj,0,0,0,1,1
-728881.7435622996,3173939.668353445,0,0,geospecific_11.obj,0,0,0,1,1
-728663.0649715313,3173977.375917411,0,0,geospecific_12.obj,0,0,0,1,1
-729031.556618264,3173956.2353475955,0,0,geospecific_13.obj,0,0,0,1,1
-729018.3995148261,3174056.6621031705,0,0,geospecific_14.obj,0,0,0,1,1
-727933.5470206727,3174164.606305589,0,0,geospecific_15.obj,0,0,0,1,1
-728576.7395995117,3174449.8565549073,0,0,geospecific_16.obj,0,0,0,1,1
-728639.0315305557,3174465.5437079766,0,0,geospecific_17.obj,0,0,0,1,1
-728721.6820444675,3174705.3538429607,0,0,geospecific_18.obj,0,0,0,1,1
-728120.1356481209,3174999.0664679045,0,0,geospecific_19.obj,0,0,0,1,1
-727759.4555250568,3172868.1546989405,0,0,geospecific_20.obj,0,0,0,1,1
-727821.6869832197,3172923.969306429,0,0,geospecific_21.obj,0,0,0,1,1
-727714.9788912446,3173013.156875795,0,0,geospecific_22.obj,0,0,0,1,1
-727754.6373556525,3173068.601876553,0,0,geospecific_23.obj,0,0,0,1,1
-727601.3650412561,3173059.499287104,0,0,geospecific_24.obj,0,0,0,1,1
-727646.7995715074,3173133.425465057,0,0,geospecific_25.obj,0,0,0,1,1
